Disease_Entity	LSF_Entity	Relationship_Type	Publication_ID	Category	Disease_BRAT_ID	LSF_BRAT_ID	Disease_Entity_Span	LSF_Entity_Span	Abstract_Text
pathological gambling	alcohol addicts	positive_statistical_association	30267528	train	T13	T25	1630:1651	1658:1673	"Prevalence of Pathological Gambling among Alcohol Addicts in Outpatient Treatment in the City of Zagreb: a Cross-Sectional Study. 
BACKGROUND: Various types of addictions often co-occur, particularly substance and behavioral ones, which affects the clinical course of mental health disorders as well as the efficacy of therapy and rehabilitation efforts. The present study aims to explore gambling activities and possible gambling addiction among alcoholics in an outpatient treatment in the city of Zagreb. SUBJECTS AND METHODS: Gambling activities were assessed in 140 members of alcohol addiction clubs in the City of Zagreb (Croatia). Participants were undergoing treatment after being diagnosed by their psychiatrist with alcohol dependence syndrome based on ICD-10 criteria. Intensity of gambling-related problems was measured using the South Oaks Gambling Screen (SOGS), while intensity of alcohol addiction was assessed using DSM-5 diagnostic criteria for alcohol use disorder. All instruments were self-report forms and were completed using pen and paper in a group context during outpatient treatment. RESULTS: Pathological gambling was more prevalent in this clinical subsample than in general populations analysed in other studies. Alcohol addicts showing problematic or pathological gambling behaviors tended to play more highly addictive games (sports betting, slot machines, roulette). However, intensity of gambling-related problems did not correlate significantly with the intensity of alcohol addiction. CONCLUSION: These results confirm studies from other countries showing higher prevalence of problematic and pathological gambling among alcohol addicts than in the general population. Gambling behavior in our sample more often involved games with greater addictive potential. These findings suggest that alcohol addicts should be systematically screened for problematic and pathological gambling, which may improve therapeutic efficacy and rehabilitation, as well as reduce relapse in addictive behavior in general."
pathological gambling	alcohol addicts	positive_statistical_association	30267528	train	T15	T26	1896:1917	1826:1841	"Prevalence of Pathological Gambling among Alcohol Addicts in Outpatient Treatment in the City of Zagreb: a Cross-Sectional Study. 
BACKGROUND: Various types of addictions often co-occur, particularly substance and behavioral ones, which affects the clinical course of mental health disorders as well as the efficacy of therapy and rehabilitation efforts. The present study aims to explore gambling activities and possible gambling addiction among alcoholics in an outpatient treatment in the city of Zagreb. SUBJECTS AND METHODS: Gambling activities were assessed in 140 members of alcohol addiction clubs in the City of Zagreb (Croatia). Participants were undergoing treatment after being diagnosed by their psychiatrist with alcohol dependence syndrome based on ICD-10 criteria. Intensity of gambling-related problems was measured using the South Oaks Gambling Screen (SOGS), while intensity of alcohol addiction was assessed using DSM-5 diagnostic criteria for alcohol use disorder. All instruments were self-report forms and were completed using pen and paper in a group context during outpatient treatment. RESULTS: Pathological gambling was more prevalent in this clinical subsample than in general populations analysed in other studies. Alcohol addicts showing problematic or pathological gambling behaviors tended to play more highly addictive games (sports betting, slot machines, roulette). However, intensity of gambling-related problems did not correlate significantly with the intensity of alcohol addiction. CONCLUSION: These results confirm studies from other countries showing higher prevalence of problematic and pathological gambling among alcohol addicts than in the general population. Gambling behavior in our sample more often involved games with greater addictive potential. These findings suggest that alcohol addicts should be systematically screened for problematic and pathological gambling, which may improve therapeutic efficacy and rehabilitation, as well as reduce relapse in addictive behavior in general."
rhabdomyolysis	Prolonged exercise	Causes	27399985	train	T24	T22	826:840	751:769	"Substrate kinetics in patients with disorders of skeletal muscle metabolism. 
The main purpose of the following studies was to investigate pathophysiological mechanisms in fat and carbohydrate metabolism and effect of nutritional interventions in patients with metabolic myopathies and in patients with severe muscle wasting. Yet there is no cure for patients with skeletal muscle disorders. The group of patients is heterozygous and this thesis is focused on patients with metabolic myopathies and low muscle mass due to severe muscle wasting. Disorders of fatty acid oxidation (FAO) are, along with myophosphorylase deficiency (McArdle disease), the most common inborn errors of metabolism leading to recurrent episodes of rhabdomyolysis in adults. Prolonged exercise, fasting, and fever are the main triggering factors for rhabdomyolysis in these conditions, and can be complicated by acute renal failure. Patients with low muscle mass are in risk of loosing their functional skills and depend on a wheel chair and respiratory support. We used nutritional interventions and metabolic studies with stable isotope technique and indirect calorimetry in patients with metabolic myopathies and patients with low muscle mass to get information of the metabolism of the investigated diseases, and to gain knowledge of the biochemical pathways of intermediary metabolism in human skeletal muscle. We have shown that patients with fat metabolism disorders in skeletal muscle affecting the transporting enzyme of fat into the mitochondria (carnitine palmitoyltransferase II deficiency) and affecting the enzyme responsible for breakdown of the long-chain fatty acids (very long chain acyl-CoA dehydrogenase deficiency) have a normal fatty acid oxidation at rest, but enzyme activity is too low to increase fatty acid oxidation during exercise. Furthermore, these patients benefit from a carbohydrate rich diet. Oppositely is exercise capacity worsened by a fat-rich diet in these patients. The patients also benefit from IV glucose, however, when glucose is given orally just before exercise, exercise capacity is worsened, most likely due to the sympatho-adrenergt response, that increases heart rate and blocks gluconeogenesis. Substrate turnover studies in patients with McArdle disease and phosphorylase b kinase deficiency showed that palmitate lipolysis, utilization and plasma concentration was higher and total CHO lower in the patients during exercise vs. healthy subjects. In patients with low muscle mass glucose homeostasis is impaired, and our findings showed that these patients are prone to develop hypoglycaemia during prolonged fasting. The following studies emphasize the importance of skeletal muscle in production of energy, both when skeletal muscle lack important metabolic enzymes (metabolic myopathies), and when skeletal muscle mass is low."
rhabdomyolysis	fasting	Causes	27399985	train	T24	T8	826:840	771:778	"Substrate kinetics in patients with disorders of skeletal muscle metabolism. 
The main purpose of the following studies was to investigate pathophysiological mechanisms in fat and carbohydrate metabolism and effect of nutritional interventions in patients with metabolic myopathies and in patients with severe muscle wasting. Yet there is no cure for patients with skeletal muscle disorders. The group of patients is heterozygous and this thesis is focused on patients with metabolic myopathies and low muscle mass due to severe muscle wasting. Disorders of fatty acid oxidation (FAO) are, along with myophosphorylase deficiency (McArdle disease), the most common inborn errors of metabolism leading to recurrent episodes of rhabdomyolysis in adults. Prolonged exercise, fasting, and fever are the main triggering factors for rhabdomyolysis in these conditions, and can be complicated by acute renal failure. Patients with low muscle mass are in risk of loosing their functional skills and depend on a wheel chair and respiratory support. We used nutritional interventions and metabolic studies with stable isotope technique and indirect calorimetry in patients with metabolic myopathies and patients with low muscle mass to get information of the metabolism of the investigated diseases, and to gain knowledge of the biochemical pathways of intermediary metabolism in human skeletal muscle. We have shown that patients with fat metabolism disorders in skeletal muscle affecting the transporting enzyme of fat into the mitochondria (carnitine palmitoyltransferase II deficiency) and affecting the enzyme responsible for breakdown of the long-chain fatty acids (very long chain acyl-CoA dehydrogenase deficiency) have a normal fatty acid oxidation at rest, but enzyme activity is too low to increase fatty acid oxidation during exercise. Furthermore, these patients benefit from a carbohydrate rich diet. Oppositely is exercise capacity worsened by a fat-rich diet in these patients. The patients also benefit from IV glucose, however, when glucose is given orally just before exercise, exercise capacity is worsened, most likely due to the sympatho-adrenergt response, that increases heart rate and blocks gluconeogenesis. Substrate turnover studies in patients with McArdle disease and phosphorylase b kinase deficiency showed that palmitate lipolysis, utilization and plasma concentration was higher and total CHO lower in the patients during exercise vs. healthy subjects. In patients with low muscle mass glucose homeostasis is impaired, and our findings showed that these patients are prone to develop hypoglycaemia during prolonged fasting. The following studies emphasize the importance of skeletal muscle in production of energy, both when skeletal muscle lack important metabolic enzymes (metabolic myopathies), and when skeletal muscle mass is low."
hypoglycaemia	prolonged fasting	Causes	27399985	train	T19	T20	2607:2620	2628:2645	"Substrate kinetics in patients with disorders of skeletal muscle metabolism. 
The main purpose of the following studies was to investigate pathophysiological mechanisms in fat and carbohydrate metabolism and effect of nutritional interventions in patients with metabolic myopathies and in patients with severe muscle wasting. Yet there is no cure for patients with skeletal muscle disorders. The group of patients is heterozygous and this thesis is focused on patients with metabolic myopathies and low muscle mass due to severe muscle wasting. Disorders of fatty acid oxidation (FAO) are, along with myophosphorylase deficiency (McArdle disease), the most common inborn errors of metabolism leading to recurrent episodes of rhabdomyolysis in adults. Prolonged exercise, fasting, and fever are the main triggering factors for rhabdomyolysis in these conditions, and can be complicated by acute renal failure. Patients with low muscle mass are in risk of loosing their functional skills and depend on a wheel chair and respiratory support. We used nutritional interventions and metabolic studies with stable isotope technique and indirect calorimetry in patients with metabolic myopathies and patients with low muscle mass to get information of the metabolism of the investigated diseases, and to gain knowledge of the biochemical pathways of intermediary metabolism in human skeletal muscle. We have shown that patients with fat metabolism disorders in skeletal muscle affecting the transporting enzyme of fat into the mitochondria (carnitine palmitoyltransferase II deficiency) and affecting the enzyme responsible for breakdown of the long-chain fatty acids (very long chain acyl-CoA dehydrogenase deficiency) have a normal fatty acid oxidation at rest, but enzyme activity is too low to increase fatty acid oxidation during exercise. Furthermore, these patients benefit from a carbohydrate rich diet. Oppositely is exercise capacity worsened by a fat-rich diet in these patients. The patients also benefit from IV glucose, however, when glucose is given orally just before exercise, exercise capacity is worsened, most likely due to the sympatho-adrenergt response, that increases heart rate and blocks gluconeogenesis. Substrate turnover studies in patients with McArdle disease and phosphorylase b kinase deficiency showed that palmitate lipolysis, utilization and plasma concentration was higher and total CHO lower in the patients during exercise vs. healthy subjects. In patients with low muscle mass glucose homeostasis is impaired, and our findings showed that these patients are prone to develop hypoglycaemia during prolonged fasting. The following studies emphasize the importance of skeletal muscle in production of energy, both when skeletal muscle lack important metabolic enzymes (metabolic myopathies), and when skeletal muscle mass is low."
fat metabolism disorders	carbohydrate rich diet	Controls	27399985	train	T33	T27	1425:1449	1880:1902	"Substrate kinetics in patients with disorders of skeletal muscle metabolism. 
The main purpose of the following studies was to investigate pathophysiological mechanisms in fat and carbohydrate metabolism and effect of nutritional interventions in patients with metabolic myopathies and in patients with severe muscle wasting. Yet there is no cure for patients with skeletal muscle disorders. The group of patients is heterozygous and this thesis is focused on patients with metabolic myopathies and low muscle mass due to severe muscle wasting. Disorders of fatty acid oxidation (FAO) are, along with myophosphorylase deficiency (McArdle disease), the most common inborn errors of metabolism leading to recurrent episodes of rhabdomyolysis in adults. Prolonged exercise, fasting, and fever are the main triggering factors for rhabdomyolysis in these conditions, and can be complicated by acute renal failure. Patients with low muscle mass are in risk of loosing their functional skills and depend on a wheel chair and respiratory support. We used nutritional interventions and metabolic studies with stable isotope technique and indirect calorimetry in patients with metabolic myopathies and patients with low muscle mass to get information of the metabolism of the investigated diseases, and to gain knowledge of the biochemical pathways of intermediary metabolism in human skeletal muscle. We have shown that patients with fat metabolism disorders in skeletal muscle affecting the transporting enzyme of fat into the mitochondria (carnitine palmitoyltransferase II deficiency) and affecting the enzyme responsible for breakdown of the long-chain fatty acids (very long chain acyl-CoA dehydrogenase deficiency) have a normal fatty acid oxidation at rest, but enzyme activity is too low to increase fatty acid oxidation during exercise. Furthermore, these patients benefit from a carbohydrate rich diet. Oppositely is exercise capacity worsened by a fat-rich diet in these patients. The patients also benefit from IV glucose, however, when glucose is given orally just before exercise, exercise capacity is worsened, most likely due to the sympatho-adrenergt response, that increases heart rate and blocks gluconeogenesis. Substrate turnover studies in patients with McArdle disease and phosphorylase b kinase deficiency showed that palmitate lipolysis, utilization and plasma concentration was higher and total CHO lower in the patients during exercise vs. healthy subjects. In patients with low muscle mass glucose homeostasis is impaired, and our findings showed that these patients are prone to develop hypoglycaemia during prolonged fasting. The following studies emphasize the importance of skeletal muscle in production of energy, both when skeletal muscle lack important metabolic enzymes (metabolic myopathies), and when skeletal muscle mass is low."
very long chain acyl-CoA dehydrogenase deficiency	carbohydrate rich diet	Controls	27399985	train	T12	T27	1661:1710	1880:1902	"Substrate kinetics in patients with disorders of skeletal muscle metabolism. 
The main purpose of the following studies was to investigate pathophysiological mechanisms in fat and carbohydrate metabolism and effect of nutritional interventions in patients with metabolic myopathies and in patients with severe muscle wasting. Yet there is no cure for patients with skeletal muscle disorders. The group of patients is heterozygous and this thesis is focused on patients with metabolic myopathies and low muscle mass due to severe muscle wasting. Disorders of fatty acid oxidation (FAO) are, along with myophosphorylase deficiency (McArdle disease), the most common inborn errors of metabolism leading to recurrent episodes of rhabdomyolysis in adults. Prolonged exercise, fasting, and fever are the main triggering factors for rhabdomyolysis in these conditions, and can be complicated by acute renal failure. Patients with low muscle mass are in risk of loosing their functional skills and depend on a wheel chair and respiratory support. We used nutritional interventions and metabolic studies with stable isotope technique and indirect calorimetry in patients with metabolic myopathies and patients with low muscle mass to get information of the metabolism of the investigated diseases, and to gain knowledge of the biochemical pathways of intermediary metabolism in human skeletal muscle. We have shown that patients with fat metabolism disorders in skeletal muscle affecting the transporting enzyme of fat into the mitochondria (carnitine palmitoyltransferase II deficiency) and affecting the enzyme responsible for breakdown of the long-chain fatty acids (very long chain acyl-CoA dehydrogenase deficiency) have a normal fatty acid oxidation at rest, but enzyme activity is too low to increase fatty acid oxidation during exercise. Furthermore, these patients benefit from a carbohydrate rich diet. Oppositely is exercise capacity worsened by a fat-rich diet in these patients. The patients also benefit from IV glucose, however, when glucose is given orally just before exercise, exercise capacity is worsened, most likely due to the sympatho-adrenergt response, that increases heart rate and blocks gluconeogenesis. Substrate turnover studies in patients with McArdle disease and phosphorylase b kinase deficiency showed that palmitate lipolysis, utilization and plasma concentration was higher and total CHO lower in the patients during exercise vs. healthy subjects. In patients with low muscle mass glucose homeostasis is impaired, and our findings showed that these patients are prone to develop hypoglycaemia during prolonged fasting. The following studies emphasize the importance of skeletal muscle in production of energy, both when skeletal muscle lack important metabolic enzymes (metabolic myopathies), and when skeletal muscle mass is low."
carnitine palmitoyltransferase II deficiency	carbohydrate rich diet	Controls	27399985	train	T11	T27	1533:1577	1880:1902	"Substrate kinetics in patients with disorders of skeletal muscle metabolism. 
The main purpose of the following studies was to investigate pathophysiological mechanisms in fat and carbohydrate metabolism and effect of nutritional interventions in patients with metabolic myopathies and in patients with severe muscle wasting. Yet there is no cure for patients with skeletal muscle disorders. The group of patients is heterozygous and this thesis is focused on patients with metabolic myopathies and low muscle mass due to severe muscle wasting. Disorders of fatty acid oxidation (FAO) are, along with myophosphorylase deficiency (McArdle disease), the most common inborn errors of metabolism leading to recurrent episodes of rhabdomyolysis in adults. Prolonged exercise, fasting, and fever are the main triggering factors for rhabdomyolysis in these conditions, and can be complicated by acute renal failure. Patients with low muscle mass are in risk of loosing their functional skills and depend on a wheel chair and respiratory support. We used nutritional interventions and metabolic studies with stable isotope technique and indirect calorimetry in patients with metabolic myopathies and patients with low muscle mass to get information of the metabolism of the investigated diseases, and to gain knowledge of the biochemical pathways of intermediary metabolism in human skeletal muscle. We have shown that patients with fat metabolism disorders in skeletal muscle affecting the transporting enzyme of fat into the mitochondria (carnitine palmitoyltransferase II deficiency) and affecting the enzyme responsible for breakdown of the long-chain fatty acids (very long chain acyl-CoA dehydrogenase deficiency) have a normal fatty acid oxidation at rest, but enzyme activity is too low to increase fatty acid oxidation during exercise. Furthermore, these patients benefit from a carbohydrate rich diet. Oppositely is exercise capacity worsened by a fat-rich diet in these patients. The patients also benefit from IV glucose, however, when glucose is given orally just before exercise, exercise capacity is worsened, most likely due to the sympatho-adrenergt response, that increases heart rate and blocks gluconeogenesis. Substrate turnover studies in patients with McArdle disease and phosphorylase b kinase deficiency showed that palmitate lipolysis, utilization and plasma concentration was higher and total CHO lower in the patients during exercise vs. healthy subjects. In patients with low muscle mass glucose homeostasis is impaired, and our findings showed that these patients are prone to develop hypoglycaemia during prolonged fasting. The following studies emphasize the importance of skeletal muscle in production of energy, both when skeletal muscle lack important metabolic enzymes (metabolic myopathies), and when skeletal muscle mass is low."
colon cancer	physical activity	negative_statistical_association	22562221	train	T3	T18	141:153	115:132	"Resistance training and the risk of colon and rectal cancers. 
PURPOSE: Although there is convincing evidence that physical activity reduces colon cancer risk, research in this area has focused on aerobic activity. We conducted a case-control study to investigate whether resistance training was associated with the risk of colon and rectal cancers. METHODS: Data were collected on various colorectal cancer risk factors, including recreational physical activity performed during three age periods, from 870 cases and 996 controls in Western Australia in 2005-2007. Participants were classified as having never, possibly, or definitely performed resistance training in each age period and over the adult lifetime. The association between resistance training and colon and rectal cancer risk was analyzed using multinomial logistic regression. RESULTS: Participants who definitely performed resistance training in their lifetime had a non-significant reduced risk of colon cancer compared with those who did no resistance training (adjusted odds ratio (AOR) = 0.70, 95 % confidence interval (CI) = 0.45-1.11). No association was found for rectal cancer risk (AOR = 1.16, 95 % CI = 0.71-1.87). Performing resistance training was associated with a lower risk of colon cancer in each age period, although none of the relationships were statistically significant. CONCLUSION: This study provides some initial evidence, albeit inconclusive, that resistance training may be inversely associated with colon cancer risk."
colon cancer	aerobic activity	negative_statistical_association	22562221	train	T3	T23	141:153	197:213	"Resistance training and the risk of colon and rectal cancers. 
PURPOSE: Although there is convincing evidence that physical activity reduces colon cancer risk, research in this area has focused on aerobic activity. We conducted a case-control study to investigate whether resistance training was associated with the risk of colon and rectal cancers. METHODS: Data were collected on various colorectal cancer risk factors, including recreational physical activity performed during three age periods, from 870 cases and 996 controls in Western Australia in 2005-2007. Participants were classified as having never, possibly, or definitely performed resistance training in each age period and over the adult lifetime. The association between resistance training and colon and rectal cancer risk was analyzed using multinomial logistic regression. RESULTS: Participants who definitely performed resistance training in their lifetime had a non-significant reduced risk of colon cancer compared with those who did no resistance training (adjusted odds ratio (AOR) = 0.70, 95 % confidence interval (CI) = 0.45-1.11). No association was found for rectal cancer risk (AOR = 1.16, 95 % CI = 0.71-1.87). Performing resistance training was associated with a lower risk of colon cancer in each age period, although none of the relationships were statistically significant. CONCLUSION: This study provides some initial evidence, albeit inconclusive, that resistance training may be inversely associated with colon cancer risk."
