Publication_ID	Article_Title	Journal_Name	Publication_Year	Data_Set	Lifestyle_Factor_Count	Disease_Count	Relations_Count	Abstract_Text
9283796	Glycosylated hemoglobin level and carotid intimal-medial thickening in nondiabetic individuals. The Atherosclerosis Risk in Communities Study.	Diabetes care	1997	train	3	8	0	Glycosylated hemoglobin level and carotid intimal-medial thickening in nondiabetic individuals. The Atherosclerosis Risk in Communities Study.  OBJECTIVE: People with diabetes are at increased risk for cardiovascular events. However, questions remain about what role, if any, homeostatic glucose control plays in the development of cardiovascular disease among nondiabetic individuals. We investigated the relationship between HbA1c level and carotid intimal-medial thickening in normoglycemic individuals. RESEARCH DESIGN AND METHODS: We conducted a case-control study among 208 normoglycemic individuals (fasting glucose < or = 6.4 mmol/l and no history of diabetes) who had carotid initial-medial thickening (case subjects) and 208 normoglycemic control subjects individually matched for age, sex, race, field center, and date of exam. Subjects were free-living men and women, aged 45-64 years at baseline, who participated in the Atherosclerosis Risk in Communities (ARIC) Study. RESULTS: HbA1c levels, expressed as percent of total hemoglobin, ranged from 4 to 7% and correlated only modestly with single measurements of fasting glucose (r = 0.16) and fasting insulin (r = 0.14). The mean level of HbA1c was 5.18% among case subjects and 5.07% among control subjects (P = 0.004, paired t test). As compared with the first quartile of HbA1c the matched relative odds of being a case were 1.15, 1.33, and 2.30 for the second, third, and fourth quartiles, respectively (P = 0.005 for linear trend). After multivariate adjustment for age, fasting glucose, fasting insulin, BMI, smoking status, hypertension, LDL cholesterol, HDL cholesterol, fibrinogen, and education level, the respective relative odds estimates were 0.98, 1.07, and 1.88 (P = 0.16 for linear trend). When modeled linearly as a continuous variable and after adjustment for the above-mentioned covariates, a 1% point increment in HbA1c level was associated with 1.77 greater odds of being a case (95% CI, 0.9-3.5). CONCLUSIONS: These data provide some support to the hypothesis that in the absence of diabetes, homeostatic glycemic control is a risk factor for atherosclerosis.  
30267528	Prevalence of Pathological Gambling among Alcohol Addicts in Outpatient Treatment in the City of Zagreb: a Cross-Sectional Study.	Psychiatria Danubina	2018	train	18	8	2	Prevalence of Pathological Gambling among Alcohol Addicts in Outpatient Treatment in the City of Zagreb: a Cross-Sectional Study.  BACKGROUND: Various types of addictions often co-occur, particularly substance and behavioral ones, which affects the clinical course of mental health disorders as well as the efficacy of therapy and rehabilitation efforts. The present study aims to explore gambling activities and possible gambling addiction among alcoholics in an outpatient treatment in the city of Zagreb. SUBJECTS AND METHODS: Gambling activities were assessed in 140 members of alcohol addiction clubs in the City of Zagreb (Croatia). Participants were undergoing treatment after being diagnosed by their psychiatrist with alcohol dependence syndrome based on ICD-10 criteria. Intensity of gambling-related problems was measured using the South Oaks Gambling Screen (SOGS), while intensity of alcohol addiction was assessed using DSM-5 diagnostic criteria for alcohol use disorder. All instruments were self-report forms and were completed using pen and paper in a group context during outpatient treatment. RESULTS: Pathological gambling was more prevalent in this clinical subsample than in general populations analysed in other studies. Alcohol addicts showing problematic or pathological gambling behaviors tended to play more highly addictive games (sports betting, slot machines, roulette). However, intensity of gambling-related problems did not correlate significantly with the intensity of alcohol addiction. CONCLUSION: These results confirm studies from other countries showing higher prevalence of problematic and pathological gambling among alcohol addicts than in the general population. Gambling behavior in our sample more often involved games with greater addictive potential. These findings suggest that alcohol addicts should be systematically screened for problematic and pathological gambling, which may improve therapeutic efficacy and rehabilitation, as well as reduce relapse in addictive behavior in general.  
26869182	Clinical effectiveness and cost-effectiveness of body psychotherapy in the treatment of negative symptoms of schizophrenia: a multicentre randomised controlled trial.	Health technology assessment (Winchester, England)	2016	train	12	5	0	Clinical effectiveness and cost-effectiveness of body psychotherapy in the treatment of negative symptoms of schizophrenia: a multicentre randomised controlled trial.  BACKGROUND: The negative symptoms of schizophrenia significantly impact on quality of life and social functioning, and current treatment options are limited. In this study the clinical effectiveness and cost-effectiveness of group body psychotherapy as a treatment for negative symptoms were compared with an active control. DESIGN: A parallel-arm, multisite randomised controlled trial. Randomisation was conducted independently of the research team, using a 1 : 1 computer-generated sequence. Assessors and statisticians were blinded to treatment allocation. Analysis was conducted following the intention-to-treat principle. In the cost-effectiveness analysis, a health and social care perspective was adopted. ELIGIBILITY CRITERIA: age 18-65 years; diagnosis of schizophrenia with symptoms present at > 6 months; score of >= 18 on Positive and Negative Syndrome Scale (PANSS) negative symptoms subscale; no change in medication type in past 6 weeks; willingness to participate; ability to give informed consent; and community outpatient. EXCLUSION CRITERIA: inability to participate in the groups and insufficient command of English. SETTINGS: Participants were recruited from NHS mental health community services in five different Trusts. All groups took place in local community spaces. INTERVENTIONS: Control intervention: a 10-week, 90-minute, 20-session group beginners' Pilates class, run by a qualified Pilates instructor. Treatment intervention: a 10-week, 90-minute, 20-session manualised group body psychotherapy group, run by a qualified dance movement psychotherapist. OUTCOMES: The primary outcome was the PANSS negative symptoms subscale score at end of treatment. Secondary outcomes included measures of psychopathology, functional, social, service use and treatment satisfaction outcomes, both at treatment end and at 6-month follow-up. RESULTS: A total of 275 participants were randomised (140 body psychotherapy group, 135 Pilates group). At the end of treatment, 264 participants were assessed (137 body psychotherapy group, 127 Pilates group). The adjusted difference in means of the PANSS negative subscale at the end of treatment was 0.03 [95% confidence interval (CI) -1.11 to 1.17], showing no advantage of the intervention. In the secondary outcomes, the mean difference in the Clinical Assessment Interview for negative symptoms expression subscale at the end of treatment was 0.62 (95% CI -1.23 to 0.00), and in extrapyramidal movement disorder symptoms -0.65 (95% CI -1.13 to -0.16) at the end of treatment and -0.58 (95% CI -1.07 to -0.09) at 6 months' follow-up, showing a small significant advantage of body psychotherapy. No serious adverse events related to the interventions were reported. The total costs of the intervention were comparable with the control, with no clear evidence of cost-effectiveness for either condition. LIMITATIONS: Owing to the absence of a treatment-as-usual arm, it is difficult to determine whether or not both arms are an improvement over routine care. CONCLUSIONS: In comparison with an active control, group body psychotherapy does not have a clinically relevant beneficial effect in the treatment of patients with negative symptoms of schizophrenia. These findings conflict with the review that led to the current National Institute for Health and Care Excellence guidelines suggesting that arts therapies may be an effective treatment for negative symptoms. FUTURE WORK: Determining whether or not this lack of effectiveness extends to all types of art therapies would be informative. TRIAL REGISTRATION: Current Controlled Trials ISRCTN842165587. FUNDING: This project was funded by the National Institute for Health Research (NIHR) Health Technology Assessment programme and will be published in full in Health Technology Assessment; Vol. 20, No. 11. See the NIHR Journals Library website for further project information.  
27399985	Substrate kinetics in patients with disorders of skeletal muscle metabolism.	Danish medical journal	2016	train	13	22	6	Substrate kinetics in patients with disorders of skeletal muscle metabolism.  The main purpose of the following studies was to investigate pathophysiological mechanisms in fat and carbohydrate metabolism and effect of nutritional interventions in patients with metabolic myopathies and in patients with severe muscle wasting. Yet there is no cure for patients with skeletal muscle disorders. The group of patients is heterozygous and this thesis is focused on patients with metabolic myopathies and low muscle mass due to severe muscle wasting. Disorders of fatty acid oxidation (FAO) are, along with myophosphorylase deficiency (McArdle disease), the most common inborn errors of metabolism leading to recurrent episodes of rhabdomyolysis in adults. Prolonged exercise, fasting, and fever are the main triggering factors for rhabdomyolysis in these conditions, and can be complicated by acute renal failure. Patients with low muscle mass are in risk of loosing their functional skills and depend on a wheel chair and respiratory support. We used nutritional interventions and metabolic studies with stable isotope technique and indirect calorimetry in patients with metabolic myopathies and patients with low muscle mass to get information of the metabolism of the investigated diseases, and to gain knowledge of the biochemical pathways of intermediary metabolism in human skeletal muscle. We have shown that patients with fat metabolism disorders in skeletal muscle affecting the transporting enzyme of fat into the mitochondria (carnitine palmitoyltransferase II deficiency) and affecting the enzyme responsible for breakdown of the long-chain fatty acids (very long chain acyl-CoA dehydrogenase deficiency) have a normal fatty acid oxidation at rest, but enzyme activity is too low to increase fatty acid oxidation during exercise. Furthermore, these patients benefit from a carbohydrate rich diet. Oppositely is exercise capacity worsened by a fat-rich diet in these patients. The patients also benefit from IV glucose, however, when glucose is given orally just before exercise, exercise capacity is worsened, most likely due to the sympatho-adrenergt response, that increases heart rate and blocks gluconeogenesis. Substrate turnover studies in patients with McArdle disease and phosphorylase b kinase deficiency showed that palmitate lipolysis, utilization and plasma concentration was higher and total CHO lower in the patients during exercise vs. healthy subjects. In patients with low muscle mass glucose homeostasis is impaired, and our findings showed that these patients are prone to develop hypoglycaemia during prolonged fasting. The following studies emphasize the importance of skeletal muscle in production of energy, both when skeletal muscle lack important metabolic enzymes (metabolic myopathies), and when skeletal muscle mass is low.  
17846454	The effects of signage and the physical environment on stair usage.	Journal of physical activity & health	2007	train	8	0	0	The effects of signage and the physical environment on stair usage.  BACKGROUND: Physical activity (PA) is a health behavior that most Americans do not participate in at recommended levels. METHODS: We sought to increase PA by use of motivational signs in selected buildings. Because physical environments are known to influence PA, the relationship of building characteristics and stair usage was also assessed. One pre- and two post-intervention observations were conducted. RESULTS: The proportion of those using the stairs increased from baseline to the second data collection, (chi2 = 39.31, p < 0.01) and baseline to a final data collection (chi2 = 10.1, p < 0.01). Built environment factors, including steps to the next higher floor and the number of floors in the building were consistent predictors of stair use. With signs positioned, the visibility of the stairs while standing in front of elevators became a significant predictor of stair usage. CONCLUSIONS: Motivational signs and characteristics of built environments are associated with increased stair usage.  
31837974	Social inequalities in multimorbidity, frailty, disability, and transitions to mortality: a 24-year follow-up of the Whitehall II cohort study.	The Lancet. Public health	2020	train	19	9	0	Social inequalities in multimorbidity, frailty, disability, and transitions to mortality: a 24-year follow-up of the Whitehall II cohort study.  BACKGROUND: Social inequalities in mortality persist in high-income countries with universal health care, and the mechanisms by which these inequalities are generated remain unclear. We aimed to examine whether social inequalities were present before or after the onset of adverse health conditions (multimorbidity, frailty, and disability). METHODS: Our analysis was based on data from the ongoing Whitehall II cohort study, which enrolled British civil servants aged 35-55 years in 1985-88. Participants were assessed for three indicators of socioeconomic status (education, occupational position, and literacy) at age 50 years. Participants underwent clinical examinations (in 2002-04, 2007-09, 2012-13, and 2015-16) for assessment of frailty (two or more of low physical activity, slow walking speed, poor grip strength, weight loss, and exhaustion) and disability (two or more difficulties in bathing, dressing, going to the toilet, transferring, feeding, and walking). In addition, electronic health records were used to assess the incidence of multimorbidity (two or more of diabetes, coronary heart disease, stroke, chronic obstructive pulmonary disease, depression, arthritis, cancer, dementia, and Parkinson's disease) and mortality. In analyses adjusted for sociodemographic factors, we used multistate models to examine social inequalities in transitions from healthy state to adverse health conditions and subsequently to mortality. FINDINGS: Of 10 308 individuals in the Whitehall II study cohort, 6425 had relevant data available at 50 years and to the end of follow-up on Aug 31, 2017, and were included in our analysis. Participants were followed up for a median of 23.6 years (IQR 19.6-28.9). 1694 (26.4%) of 6425 participants developed multimorbidity, 1733 (27.0%) became frail, 692 (10.8%) had a disability, and 611 (9.5%) died. Multimorbidity (hazard ratio [HR] 4.12 [95% CI 3.41-4.98]), frailty (HR 2.38 [95% CI 1.93-2.93]), and disability (HR 1.73 [95% CI 1.34-2.22]) were associated with increased risk of mortality; these associations were not modified by socioeconomic status. In multistate models, occupation was the socioeconomic status indicator that was most strongly associated with inequalities in the transition from healthy state to multimorbidity (HR 1.54 [95% CI 1.37-1.73]), to frailty (HR 2.08 [95% CI 1.85-2.33]), and to disability (HR 1.44 [95% CI 1.18-1.74]). Socioeconomic status indicators did not affect transitions to mortality in those with multimorbidity, frailty, or disability. INTERPRETATION: Socioeconomic status affects the risk of multimorbidity, frailty, and disability, but does not affect the risk of mortality after the onset of these adverse health conditions. Therefore, primary prevention is key to reducing social inequalities in mortality. Of the three adverse health conditions, multimorbidity had the strongest association with mortality, making it a central target for improving population health. FUNDING: UK Medical Research Council; National Institute on Aging, National Institutes of Health; British Heart Foundation.  
22562221	Resistance training and the risk of colon and rectal cancers.	Cancer causes & control : CCC	2012	train	11	12	3	Resistance training and the risk of colon and rectal cancers.  PURPOSE: Although there is convincing evidence that physical activity reduces colon cancer risk, research in this area has focused on aerobic activity. We conducted a case-control study to investigate whether resistance training was associated with the risk of colon and rectal cancers. METHODS: Data were collected on various colorectal cancer risk factors, including recreational physical activity performed during three age periods, from 870 cases and 996 controls in Western Australia in 2005-2007. Participants were classified as having never, possibly, or definitely performed resistance training in each age period and over the adult lifetime. The association between resistance training and colon and rectal cancer risk was analyzed using multinomial logistic regression. RESULTS: Participants who definitely performed resistance training in their lifetime had a non-significant reduced risk of colon cancer compared with those who did no resistance training (adjusted odds ratio (AOR) = 0.70, 95 % confidence interval (CI) = 0.45-1.11). No association was found for rectal cancer risk (AOR = 1.16, 95 % CI = 0.71-1.87). Performing resistance training was associated with a lower risk of colon cancer in each age period, although none of the relationships were statistically significant. CONCLUSION: This study provides some initial evidence, albeit inconclusive, that resistance training may be inversely associated with colon cancer risk.  
11314115	Sugar replacers and the FDA noncariogenicity claim.	Journal of dental hygiene : JDH	2000	train	13	2	2	"Sugar replacers and the FDA noncariogenicity claim.  In 1996, the U.S. Food and Drug Administration (FDA) approved the use of a ""health claim"" based on the association between sugar replacers and the nonpromotion of dental caries. Small packages of products containing such sweeteners may state ""Does not promote tooth decay"" or ""May reduce the risk of tooth decay."" Larger packages must include additional information, such as ""Frequent eating of foods high in sugars and starches as between-meal snacks can promote tooth decay."" FDA criteria state that these products must not only be ""sugar-free,"" but they must also contain a noncariogenic sugar replacer and not lower plaque pH below 5.7 either during consumption or up to 30 minutes after consumption when tested by in vivo pH telemetry. Many people might reduce their caries risk by using sugar-free products, and the FDA claim can help consumers identity such products. Dental hygienists are ideal sources of consumer information about sugar replacers, and can help clients distinguish between the new FDA claim and advertising claims that are not regulated by FDA. The purpose of this article is to provide dental hygienists with information on sugar replacers that will help clients make appropriate nutrition choices.  "
24345987	Dyslipidemia, malnutrition, inflammation, cardiovascular disease and mortality in chronic kidney disease.	Current opinion in lipidology	2014	train	7	23	3	Dyslipidemia, malnutrition, inflammation, cardiovascular disease and mortality in chronic kidney disease.  PURPOSE OF REVIEW: Dyslipidemia, malnutrition and inflammation are common in patients with chronic kidney disease (CKD) and are strongly associated with cardiovascular disease (CVD) and increased mortality. The epidemiology of dyslipidemia and its interactions with malnutrition and inflammation in CKD patients have been the subject of much interest in the past decade. Recent clinical trials have explored the effects of statins on CVD specifically in CKD patients. RECENT FINDINGS: Whereas the risk relationship between total cholesterol level and CVD morbidity and mortality is direct, strong and progressive in CKD patients without malnutrition and inflammation, it is inconsistent and often paradoxical in those with malnutrition and inflammation. Accumulating evidence demonstrates that statins reduce significantly the risk of CVD in CKD patients before the initiation of dialysis. However, the beneficial effect of statins in CKD patients on dialysis is uncertain. In CKD patients on dialysis, malnutrition and inflammation pose a higher risk for CVD than dyslipidemia. SUMMARY: In CKD patients, the risk of CVD associated to dyslipidemia is complex and is modified by malnutrition and inflammation.  
29766400	Social media in the REI clinic: what do patients want?	Journal of assisted reproduction and genetics	2018	train	8	7	0	"Social media in the REI clinic: what do patients want?  PURPOSE: To elicit patient preferences for social media utilization and content in the infertility clinic. METHODS: This was a cross-sectional survey study conducted in three US fertility practices. Women presenting to the infertility clinic for an initial or return visit were offered an anonymous voluntary social media survey. The survey elicited patient perception of whether social media use in the infertility clinic is beneficial, and preferences regarding topics of interest. RESULTS: A total of 244 surveys were collected during the study period, of which 54.5% were complete. Instagram is a more popular platform than Twitter across all age groups. Use of both platforms varies by age, with patients >= 40 less likely to be active users. The majority of respondents felt that social media provided benefit to the patient experience in the infertility clinic (79.9%). ""Education regarding infertility testing and treatment"" and ""Myths and Facts about infertility"" were the most popular topics for potential posts, with 93.4 and 92.0% of patients endorsing interest respectively. The least popular topic was ""Newborn photos and birth announcements,"" with only 47.4% endorsing interest. A little over half of respondents (56.3%) would feel comfortable with the clinic posting a picture of their infant. The vast majority of patients (96.2%) feel comfortable communicating electronically with their infertility clinic. CONCLUSION: Patients are interested in the use of social media as a forum for patient education and support in the infertility clinic. Patient preferences regarding post topics should be carefully considered.  "
